id,description,theme,genre
1023338,"A grieving widower is drawn into a custody battle over his granddaughter, whom he helped raise her entire life.",Moving relationship stories|Enduring stories of family and marital drama|Emotional and touching family dramas|Heartbreaking and moving family drama|Touching and sentimental family stories|Powerful stories of heartbreak and suffering,Drama
1004409,"A young man travels to an isolated farm for his lover's funeral where he's quickly drawn into a twisted, sexually charged game by his lover's aggressive brother.",Intense violence and sexual transgression|Twisted dark psychological thriller,Thriller|Drama|Mystery
1077976,"An aging actress' husband dies of a heart attack en route to Rome, where they'd planned to holiday. There, she rents an apartment and, through the Contessa, she meets a young man, with whom she begins an affair.",Moving relationship stories|Passion and romance|Erotic relationships and desire|Captivating relationships and charming romance|Emotional LGBTQ relationships|Emotional teen coming-of-age stories,Drama|Romance|TV Movie
1006857,Baron Victor Frankenstein has discovered life's secret and unleashed a blood-curdling chain of events resulting from his creation: a cursed creature with a horrid face — and a tendency to kill.,"Horror, the undead and monster classics|Chilling experiments and classic monster horror|Creepy, chilling, and terrifying horror|Gory, gruesome, and slasher horror|Terrifying, haunted, and supernatural horror|Sci-fi horror, creatures, and aliens",Science Fiction|Horror
1045873,"In 1984, American heavy metal band Twisted Sister became a global sensation. For 30 years, they been synonymous with hairspray, women's clothing and tasteless album covers. Until now. Ten years ago, director Andrew Horn was granted access to the archives of Twisted Sister founder Jay French and in We are Twisted fucking Sister he explores the decade that preceded their breakthrough.",Epic history and literature|Legendary musicians and stardom,Music|Documentary|Comedy
1007960,"An obese lawyer finds himself growing ""Thinner"" when an old Romani man places a hex on him. Now the lawyer must call upon his friends in organized crime to help him persuade the old man to lift the curse. Time is running out for the desperate lawyer as he draws closer to his own death, and grows ever thinner.","Horror, the undead and monster classics|Intense violence and sexual transgression|Terrifying, haunted, and supernatural horror|Gory, gruesome, and slasher horror|Twisted dark psychological thriller|Creepy, chilling, and terrifying horror|Gothic and eerie haunting horror",Horror|Fantasy
1054223,A documentary filmmaker's research on a town's mysterious benefactor unearths an unexplained evil while staying at a local resort.,"Horror, the undead and monster classics|Terrifying, haunted, and supernatural horror|Twisted dark psychological thriller",Thriller|Drama|Horror
1005454,"When Sanlian's ex-husband passes away, she discovers he has altered his insurance policy, cutting out their son in favor of a stranger named Jay.",Moving relationship stories|Humanity and the world around us|Heartbreaking and moving family drama|Touching and sentimental family stories|Powerful stories of heartbreak and suffering|Emotional and touching family dramas|Tragic sadness and captivating beauty,Comedy|Drama
1037044,"In 2009 John Jones entered Nutty Putty Cave with his brother Josh. What happened next has been a topic of much discussion and controversy ever since. Over 127 rescuers responded to the call for aid, and each one has their own take on the events. A story about love, life, and human connection. Ultimately it is the story about how clearly you can see what matters most when you are at the edge of life and death. Made with cooperation from members of John's immediate family.",Intense violence and sexual transgression|Emotional and touching family dramas|Touching and sentimental family stories|Powerful stories of heartbreak and suffering,Drama
1064076,"Hosted by Orson Welles, this documentary utilizes a grab bag of dramatized scenes, stock footage, TV news clips and interviews to ask: Did 16th century French astrologer and physician Nostradamus actually predict such events as the fall of King Louis XVI, the rise of Napoleon, the assassination of President John F. Kennedy? And are there prophecies that have yet to come true?","War and historical adventure|Politics, propaganda, and political documentaries|Riveting political and presidential drama",Drama|Documentary
